Month,DayofMonth,Temp ,Temp_Avg,Visibility_High,Visibility_Avg,Wind_High,Wind_Avg,Precip_Sum
1,1,47,39,10,10,30,16,T
1,2,30,25,10,10,28,18,T
1,3,40,28,10,10,16,5,0
1,4,47,36,10,10,10,3,0
1,5,55,43,10,10,14,6,0
1,6,67,54,10,10,13,5,0
1,7,71,58,10,10,15,5,0
1,8,69,61,10,7,21,10,0
1,9,64,61,10,9,17,5,0.25
1,10,68,63,10,6,22,10,0.6
1,11,59,51,10,10,17,9,0.31
1,12,59,48,10,10,10,5,0
1,13,59,49,10,9,18,8,0
1,14,49,40,10,10,24,13,0
1,15,49,40,10,10,21,10,0
1,16,39,35,10,6,23,11,0.46
1,17,40,36,3,3,28,9,0.29
1,18,54,46,10,8,12,7,T
1,19,43,36,10,7,22,10,0.22
1,20,31,24,10,10,21,13,0
1,21,41,31,10,10,16,10,0
1,22,41,37,10,7,17,7,0.11
1,23,50,45,10,6,13,7,0
1,24,44,35,10,10,25,15,0
1,25,42,31,10,10,17,8,0.01
1,26,45,39,10,10,17,4,T
1,27,54,43,10,8,21,11,0
1,28,60,46,10,10,14,6,0
1,29,65,52,10,10,28,12,0.14
1,30,59,44,10,10,33,13,T
1,31,51,39,10,8,28,14,0.46
2,1,49,43,10,7,22,10,0.86
2,2,57,43,10,10,9,3,0
2,3,64,51,10,10,15,3,T
2,4,70,59,10,10,16,7,0.18
2,5,67,60,10,5,15,6,T
2,6,66,56,10,8,26,13,0.37
2,7,56,45,10,10,22,8,0
2,8,59,47,10,10,15,4,0
2,9,64,52,10,10,23,9,0
2,10,64,52,10,10,32,11,0
2,11,65,48,10,10,18,7,0
2,12,68,58,10,9,23,10,0.26
2,13,57,41,10,8,26,17,T
2,14,56,39,10,10,15,6,0
2,15,62,48,10,10,12,5,0
2,16,67,58,10,10,13,5,0
2,17,69,60,10,9,25,13,0.57
2,18,60,50,10,10,21,12,0
2,19,58,46,10,10,31,11,0
2,20,66,50,10,10,20,8,0
2,21,48,45,10,7,17,6,1.24
2,22,48,45,10,1,15,8,0.61
2,23,50,43,10,5,18,9,T
2,24,60,47,10,10,12,5,T
2,25,65,53,10,9,14,6,0
2,26,61,50,10,8,39,14,0.48
2,27,38,33,10,10,26,16,T
2,28,48,36,10,10,13,6,0
2,29,58,47,10,10,21,8,T
3,1,66,56,10,10,20,8,T
3,2,70,56,10,10,13,5,0
3,3,73,59,10,10,24,12,0
3,4,71,59,10,8,31,16,0.85
3,5,58,46,10,10,22,11,0
3,6,69,53,10,10,16,6,0
3,7,68,60,10,8,30,11,0.72
3,8,58,45,10,8,29,15,T
3,9,55,42,10,10,15,4,0
3,10,65,51,10,10,10,2,0
3,11,56,51,10,10,12,5,0
3,12,68,53,10,10,17,8,0
3,13,72,61,10,10,20,7,0
3,14,63,58,10,8,20,5,0.76
3,15,75,65,10,7,38,11,0.4
3,16,67,57,10,10,24,11,0
3,17,66,56,10,10,21,11,0
3,18,72,62,10,10,23,11,0
3,19,67,58,10,7,30,16,1.15
3,20,60,50,10,10,31,16,0
3,21,68,54,10,10,14,6,0
3,22,73,61,10,10,21,10,0
3,23,60,48,10,10,21,13,0
3,24,49,41,10,10,26,13,0
3,25,58,44,10,10,15,6,0
3,26,69,54,10,10,15,5,0
3,27,73,60,10,10,20,9,0
3,28,71,63,10,9,17,7,0
3,29,76,63,10,6,26,10,1.22
3,30,50,47,10,6,22,15,0.07
3,31,56,50,10,6,21,10,T
4,1,75,65,10,6,17,7,0.05
4,2,77,67,10,10,13,7,0
4,3,67,57,10,4,21,14,T
4,4,71,59,10,3,15,7,0.97
4,5,62,59,9,4,18,6,0.72
4,6,66,60,8,4,13,5,0
4,7,63,59,10,7,17,9,T
4,8,70,63,10,10,15,8,0
4,9,74,62,10,10,12,6,0
4,10,76,66,10,10,18,8,0
4,11,82,73,10,9,25,11,0.42
4,12,65,60,10,9,16,9,0.07
4,13,60,51,10,10,26,13,0
4,14,50,43,10,10,25,12,T
4,15,63,50,10,10,16,7,0
4,16,70,55,10,10,12,3,0
4,17,75,62,10,10,12,3,0
4,18,76,64,10,10,20,8,0
4,19,72,65,10,9,20,9,0.19
4,20,73,62,10,10,22,9,0
4,21,75,63,10,10,17,6,0
4,22,78,66,10,10,14,5,0
4,23,79,68,10,10,16,9,0
4,24,79,68,10,10,13,7,0
4,25,80,72,10,10,17,8,T
4,26,80,71,10,9,20,7,0.17
4,27,68,65,10,8,13,5,0.52
4,28,68,60,10,9,24,10,0.11
4,29,63,53,10,10,21,11,0
4,30,74,59,10,10,10,5,0
5,1,79,67,10,10,22,9,0
5,2,81,70,10,10,22,12,0
5,3,70,65,10,10,21,9,0.02
5,4,78,69,10,8,15,7,T
5,5,78,66,10,10,18,10,0
5,6,81,67,10,10,13,4,0
5,7,82,71,10,10,20,8,0
5,8,83,74,10,9,28,11,0.16
5,9,80,72,10,9,17,8,0
5,10,80,74,10,9,13,6,0
5,11,76,67,10,7,35,16,1.48
5,12,72,62,10,10,26,15,0
5,13,75,63,10,10,13,5,0
5,14,72,65,10,10,14,7,T
5,15,70,67,10,6,16,7,0.85
5,16,77,65,10,10,23,12,0
5,17,73,61,10,10,15,8,0
5,18,77,68,10,10,22,10,0.04
5,19,81,70,10,10,17,7,0.06
5,20,84,75,10,10,25,13,0.12
5,21,77,67,10,10,20,10,0
5,22,82,70,10,10,14,6,0
5,23,84,76,10,9,15,3,0.01
5,24,86,75,10,8,20,9,0
5,25,82,73,10,9,13,6,0
5,26,82,72,10,10,14,6,0
5,27,85,76,10,10,17,5,T
5,28,82,76,10,9,16,6,0.06
5,29,78,68,10,8,20,8,T
5,30,83,74,10,6,10,5,0
5,31,88,79,10,9,20,8,0
6,1,86,78,10,9,14,6,T
6,2,88,79,10,10,14,6,0
6,3,90,79,10,10,15,6,0
6,4,90,82,10,10,18,9,0
6,5,91,82,10,10,17,7,0
6,6,93,84,10,10,13,6,0
6,7,93,84,10,10,14,5,0
6,8,95,85,10,10,13,3,0
6,9,98,85,10,10,24,6,0.01
6,10,91,80,10,10,13,6,0
6,11,92,82,10,9,23,5,T
6,12,89,79,10,8,20,9,0.03
6,13,90,80,10,8,18,8,0
6,14,89,81,10,9,23,6,0.08
6,15,91,81,10,9,14,6,0
6,16,93,81,10,9,15,7,0
6,17,91,80,10,10,20,10,0
6,18,87,74,10,10,18,9,0
6,19,87,74,10,10,13,7,0
6,20,88,76,10,10,13,4,0
