Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,UniqueCarrier,FlightNum,Distance,Dest,Cancelled
1,19,6,916.0,900,XE,1265,745,ATL,0
1,16,3,2102.0,1739,XE,2622,689,ATL,0
1,22,2,919.0,900,XE,2023,554,ATL,0
1,1,2,1127.0,1035,XE,1221,745,ATL,0
1,5,6,1733.0,1720,XE,2562,689,ATL,0
1,2,3,1305.0,1245,XE,2184,689,ATL,0
1,5,6,754.0,742,XE,2506,689,ATL,0
1,1,2,2133.0,2045,XE,2213,689,ATL,0
1,15,2,1752.0,1739,XE,2622,689,ATL,0
1,12,6,737.0,730,XE,2792,689,ATL,0
1,6,7,1030.0,1020,XE,2342,689,ATL,0
1,2,3,2115.0,2045,XE,2213,689,ATL,0
1,2,3,1717.0,1655,XE,2464,554,ATL,0
1,22,2,1511.0,1455,XE,2362,689,ATL,0
1,19,6,1828.0,1740,XE,2464,554,ATL,0
1,9,3,1759.0,1739,XE,2622,689,ATL,0
1,29,2,1801.0,1739,XE,2622,689,ATL,0
1,6,7,2131.0,2045,XE,2213,689,ATL,0
1,4,5,1800.0,1655,XE,2464,554,ATL,0
1,3,4,1041.0,730,XE,2206,689,ATL,0
1,3,4,2054.0,2045,XE,2213,689,ATL,0
1,23,3,1800.0,1739,XE,2622,689,ATL,0
1,3,4,1223.0,1115,XE,2432,554,ATL,0
1,5,6,2020.0,2010,XE,1286,745,ATL,0
1,18,5,1751.0,1739,XE,2622,689,ATL,0
1,1,2,1940.0,1855,YV,7146,1199,ATL,0
1,1,2,843.0,837,YV,7201,533,ATL,0
1,2,3,1457.0,1420,YV,2645,227,ATL,0
1,2,3,2007.0,1855,YV,7146,1199,ATL,0
1,2,3,1703.0,1634,YV,7269,533,ATL,0
1,3,4,1946.0,1855,YV,7146,1199,ATL,0
1,4,5,1450.0,1420,YV,2645,227,ATL,0
1,4,5,1737.0,1634,YV,7269,533,ATL,0
1,5,6,1625.0,1605,YV,2697,227,ATL,0
1,5,6,2049.0,1855,YV,7146,1199,ATL,0
1,6,7,2110.0,1855,YV,7146,1199,ATL,0
1,6,7,852.0,837,YV,7201,533,ATL,0
1,7,1,1750.0,1605,YV,2697,227,ATL,0
1,7,1,2152.0,2145,YV,7266,533,ATL,0
1,8,2,1540.0,1420,YV,2645,227,ATL,0
1,8,2,1805.0,1605,YV,2697,227,ATL,0
1,8,2,1721.0,1635,YV,7269,533,ATL,0
1,9,3,1318.0,845,YV,7078,533,ATL,0
1,10,4,1615.0,1605,YV,2697,227,ATL,0
1,10,4,1724.0,1635,YV,7269,533,ATL,0
1,11,5,1515.0,1420,YV,2645,227,ATL,0
1,11,5,1821.0,1805,YV,2651,227,ATL,0
1,11,5,2335.0,2220,YV,2681,227,ATL,0
1,12,6,1410.0,1325,YV,7153,1199,ATL,0
1,12,6,906.0,845,YV,7078,533,ATL,0
1,13,7,1630.0,1605,YV,2697,227,ATL,0
1,13,7,1904.0,1855,YV,7067,1199,ATL,0
1,13,7,1700.0,1633,YV,7269,533,ATL,0
1,13,7,1105.0,1050,YV,7154,606,ATL,0
1,14,1,910.0,730,YV,2603,227,ATL,0
1,14,1,1440.0,1420,YV,2645,227,ATL,0
1,14,1,1814.0,1805,YV,2651,227,ATL,0
1,14,1,1110.0,920,YV,2659,227,ATL,0
1,15,2,1015.0,920,YV,2659,227,ATL,0
1,15,2,1620.0,1605,YV,2697,227,ATL,0
1,15,2,852.0,845,YV,7078,533,ATL,0
1,16,3,820.0,730,YV,2603,227,ATL,0
1,16,3,1433.0,1420,YV,2645,227,ATL,0
1,16,3,1125.0,920,YV,2659,227,ATL,0
1,16,3,2301.0,2220,YV,2681,227,ATL,0
1,16,3,2209.0,2145,YV,7266,533,ATL,0
1,16,3,1650.0,1635,YV,7269,533,ATL,0
1,17,4,1005.0,920,YV,2659,227,ATL,0
1,17,4,2230.0,2220,YV,2681,227,ATL,0
1,17,4,1700.0,1605,YV,2697,227,ATL,0
1,17,4,111.0,2145,YV,7266,533,ATL,0
1,17,4,1715.0,1635,YV,7269,533,ATL,0
1,18,5,2232.0,2220,YV,2681,227,ATL,0
1,18,5,2117.0,1905,YV,7067,1199,ATL,0
1,18,5,908.0,845,YV,7078,533,ATL,0
1,18,5,2214.0,2145,YV,7266,533,ATL,0
1,18,5,1721.0,1635,YV,7269,533,ATL,0
1,19,6,752.0,730,YV,2647,227,ATL,0
1,19,6,1037.0,845,YV,7078,533,ATL,0
1,19,6,931.0,915,YV,7451,606,ATL,0
1,20,7,947.0,845,YV,7078,533,ATL,0
1,20,7,1710.0,1633,YV,7269,533,ATL,0
1,21,1,745.0,730,YV,2603,227,ATL,0
1,21,1,1545.0,1420,YV,2645,227,ATL,0
1,21,1,955.0,920,YV,2659,227,ATL,0
1,21,1,7.0,2220,YV,2681,227,ATL,0
1,21,1,1630.0,1605,YV,2697,227,ATL,0
1,21,1,935.0,845,YV,7078,533,ATL,0
1,21,1,1641.0,1635,YV,7269,533,ATL,0
1,22,2,1540.0,1420,YV,2645,227,ATL,0
1,22,2,1900.0,1805,YV,2651,227,ATL,0
1,22,2,930.0,920,YV,2659,227,ATL,0
1,22,2,1705.0,1605,YV,2697,227,ATL,0
1,23,3,810.0,730,YV,2603,227,ATL,0
1,23,3,1627.0,1605,YV,2697,227,ATL,0
1,23,3,2201.0,2145,YV,7266,533,ATL,0
1,23,3,1715.0,1635,YV,7269,533,ATL,0
1,24,4,740.0,730,YV,2603,227,ATL,0
1,24,4,1010.0,920,YV,2659,227,ATL,0
1,24,4,2239.0,2145,YV,7266,533,ATL,0
1,25,5,1618.0,1420,YV,2645,227,ATL,0
1,25,5,950.0,920,YV,2659,227,ATL,0
1,25,5,2207.0,2145,YV,7266,533,ATL,0
1,25,5,1746.0,1635,YV,7269,533,ATL,0
1,26,6,1840.0,1805,YV,2619,227,ATL,0
1,26,6,1550.0,1420,YV,2645,227,ATL,0
1,26,6,1705.0,1633,YV,7269,533,ATL,0
1,27,7,1540.0,1420,YV,2645,227,ATL,0
1,27,7,2235.0,2220,YV,2681,227,ATL,0
1,27,7,1800.0,1633,YV,7269,533,ATL,0
1,27,7,1259.0,1050,YV,7154,606,ATL,0
1,28,1,940.0,920,YV,2659,227,ATL,0
1,28,1,943.0,845,YV,7078,533,ATL,0
1,28,1,48.0,2145,YV,7266,533,ATL,0
1,29,2,1803.0,1635,YV,7269,533,ATL,0
1,30,3,1815.0,1805,YV,2651,227,ATL,0
1,30,3,926.0,845,YV,7078,533,ATL,0
1,30,3,1641.0,1635,YV,7269,533,ATL,0
1,31,4,2054.0,1805,YV,2651,227,ATL,0
1,31,4,1135.0,920,YV,2659,227,ATL,0
1,31,4,1642.0,1605,YV,2697,227,ATL,0
1,31,4,911.0,845,YV,7078,533,ATL,0
1,31,4,2336.0,2145,YV,7266,533,ATL,0
1,2,3,1500.0,1450,OH,5288,743,ATL,0
1,2,3,1838.0,1753,OH,5334,793,ATL,0
1,2,3,1220.0,1200,OH,5498,449,ATL,0
1,2,3,717.0,700,OH,5621,432,ATL,0
1,3,4,633.0,625,OH,4962,563,ATL,0
1,3,4,1400.0,1210,OH,4971,554,ATL,0
1,3,4,1841.0,1700,OH,4978,508,ATL,0
1,3,4,1752.0,1735,OH,5010,952,ATL,0
1,3,4,1505.0,1328,OH,5017,760,ATL,0
1,3,4,905.0,630,OH,5152,306,ATL,0
1,3,4,1925.0,1827,OH,5168,321,ATL,0
1,3,4,2055.0,2028,OH,5231,356,ATL,0
1,3,4,814.0,720,OH,5317,306,ATL,0
1,3,4,1135.0,1115,OH,5333,590,ATL,0
1,3,4,1930.0,1753,OH,5334,793,ATL,0
1,3,4,1334.0,1200,OH,5498,449,ATL,0
1,4,5,1235.0,1210,OH,4971,554,ATL,0
1,4,5,730.0,640,OH,4999,692,ATL,0
1,4,5,1945.0,1735,OH,5010,952,ATL,0
1,4,5,750.0,720,OH,5317,306,ATL,0
1,4,5,1205.0,1115,OH,5333,590,ATL,0
1,5,6,740.0,625,OH,4962,563,ATL,0
1,5,6,1350.0,1328,OH,5017,760,ATL,0
1,5,6,650.0,630,OH,5152,306,ATL,0
1,5,6,740.0,720,OH,5317,306,ATL,0
1,6,7,1230.0,1210,OH,4971,554,ATL,0
1,6,7,1740.0,1700,OH,5111,619,ATL,0
1,6,7,725.0,630,OH,5152,306,ATL,0
1,6,7,740.0,720,OH,5317,306,ATL,0
1,6,7,1211.0,1115,OH,5333,590,ATL,0
1,7,1,1435.0,1328,OH,5017,760,ATL,0
1,7,1,1922.0,1827,OH,5168,321,ATL,0
1,8,2,1710.0,1700,OH,4978,508,ATL,0
1,8,2,745.0,720,OH,5317,306,ATL,0
1,8,2,1135.0,1115,OH,5333,590,ATL,0
1,8,2,1830.0,1753,OH,5334,793,ATL,0
1,9,3,1745.0,1735,OH,5010,952,ATL,0
1,9,3,1335.0,1328,OH,5017,760,ATL,0
1,9,3,2110.0,2028,OH,5231,356,ATL,0
1,9,3,2200.0,1941,OH,5623,446,ATL,0
1,10,4,1310.0,1210,OH,4971,554,ATL,0
1,10,4,1800.0,1700,OH,4978,508,ATL,0
1,10,4,1756.0,1735,OH,5010,952,ATL,0
1,10,4,1725.0,1700,OH,5111,619,ATL,0
1,10,4,730.0,630,OH,5152,306,ATL,0
1,10,4,2040.0,2028,OH,5231,356,ATL,0
1,10,4,1140.0,1115,OH,5333,590,ATL,0
1,10,4,1804.0,1753,OH,5334,793,ATL,0
1,11,5,1220.0,1210,OH,4971,554,ATL,0
1,11,5,1826.0,1735,OH,5010,952,ATL,0
1,11,5,1345.0,1328,OH,5017,760,ATL,0
1,11,5,2010.0,1827,OH,5168,321,ATL,0
1,11,5,2242.0,2028,OH,5231,356,ATL,0
1,11,5,1225.0,1200,OH,5498,449,ATL,0
1,11,5,2115.0,1941,OH,5623,446,ATL,0
1,12,6,1345.0,1328,OH,5017,760,ATL,0
1,12,6,845.0,720,OH,5317,306,ATL,0
1,12,6,1259.0,1115,OH,5333,590,ATL,0
1,13,7,1745.0,1735,OH,5010,952,ATL,0
1,13,7,1913.0,1900,OH,5077,665,ATL,0
1,13,7,843.0,830,OH,5124,813,ATL,0
1,13,7,1800.0,1753,OH,5334,793,ATL,0
1,14,1,1230.0,1210,OH,4971,554,ATL,0
1,14,1,1735.0,1700,OH,4978,508,ATL,0
1,14,1,1757.0,1735,OH,5010,952,ATL,0
